t;x;y;frame;Feeder;Cooments
8,942275609E0;2,298462236E1;1,052548136E0;2,680000000E2;OUT;
8,975642309E0;2,298462236E1;1,052548136E0;2,690000000E2;OUT;
9,009009009E0;2,298462236E1;1,052548136E0;2,700000000E2;OUT;
9,042375709E0;2,298462236E1;1,052548136E0;2,710000000E2;OUT;
9,075742409E0;2,298462236E1;1,052548136E0;2,720000000E2;OUT;
9,109109109E0;2,298462236E1;1,052548136E0;2,730000000E2;OUT;
9,142475809E0;2,298462236E1;1,052548136E0;2,740000000E2;OUT;
9,175842509E0;2,298462236E1;1,052548136E0;2,750000000E2;OUT;
9,209209209E0;2,298462236E1;1,052548136E0;2,760000000E2;OUT;
9,242575909E0;2,298462236E1;1,052548136E0;2,770000000E2;OUT;
9,275942609E0;2,298462236E1;1,052548136E0;2,780000000E2;OUT;
9,309309309E0;2,298462236E1;1,052548136E0;2,790000000E2;OUT;
9,342676009E0;2,572039215E1;1,457847363E0;2,800000000E2;OUT;
9,376042709E0;2,572039215E1;2,167121012E0;2,810000000E2;OUT;
9,409409409E0;2,698695224E1;2,876394661E0;2,820000000E2;OUT;
9,442776109E0;2,698695224E1;2,876394661E0;2,830000000E2;OUT;
9,476142809E0;2,698695224E1;2,927057065E0;2,840000000E2;OUT;
9,509509510E0;2,698695224E1;2,927057065E0;2,850000000E2;OUT;
9,542876210E0;2,698695224E1;2,876394661E0;2,860000000E2;OUT;
9,576242910E0;2,698695224E1;2,876394661E0;2,870000000E2;OUT;
9,609609610E0;2,698695224E1;2,876394661E0;2,880000000E2;OUT;
9,642976310E0;2,698695224E1;2,876394661E0;2,890000000E2;OUT;
9,676343010E0;2,698695224E1;2,876394661E0;2,900000000E2;OUT;
9,709709710E0;2,698695224E1;2,876394661E0;2,910000000E2;OUT;
9,743076410E0;2,698695224E1;2,876394661E0;2,920000000E2;OUT;
9,776443110E0;2,698695224E1;2,876394661E0;2,930000000E2;OUT;
9,809809810E0;2,718960185E1;1,913808995E0;2,940000000E2;OUT;
9,843176510E0;2,718960185E1;1,913808995E0;2,950000000E2;OUT;
9,876543210E0;2,713893945E1;1,913808995E0;2,960000000E2;OUT;
9,909909910E0;2,713893945E1;1,913808995E0;2,970000000E2;OUT;
9,943276610E0;2,713893945E1;1,913808995E0;2,980000000E2;OUT;
9,976643310E0;2,713893945E1;1,913808995E0;2,990000000E2;OUT;
1,001001001E1;2,713893945E1;1,913808995E0;3,000000000E2;OUT;
1,004337671E1;2,713893945E1;1,913808995E0;3,010000000E2;OUT;
1,007674341E1;2,713893945E1;1,913808995E0;3,020000000E2;OUT;
1,011011011E1;2,713893945E1;1,913808995E0;3,030000000E2;OUT;
1,014347681E1;2,713893945E1;1,913808995E0;3,040000000E2;OUT;
1,017684351E1;2,713893945E1;1,913808995E0;3,050000000E2;OUT;
1,021021021E1;2,713893945E1;1,913808995E0;3,060000000E2;OUT;
1,024357691E1;2,713893945E1;1,913808995E0;3,070000000E2;OUT;
1,027694361E1;2,713893945E1;1,913808995E0;3,080000000E2;OUT;
1,031031031E1;2,713893945E1;1,913808995E0;3,090000000E2;OUT;
1,034367701E1;2,713893945E1;1,913808995E0;3,100000000E2;OUT;
1,037704371E1;2,718960185E1;1,913808995E0;3,110000000E2;OUT;
1,041041041E1;2,718960185E1;1,913808995E0;3,120000000E2;OUT;
1,044377711E1;2,724026425E1;1,913808995E0;3,130000000E2;OUT;
1,047714381E1;2,718960185E1;1,913808995E0;3,140000000E2;OUT;
1,051051051E1;2,718960185E1;1,913808995E0;3,150000000E2;OUT;
1,054387721E1;2,712868050E1;1,637994871E0;3,160000000E2;OUT;
1,057724391E1;2,718960185E1;-8,726231974E-1;3,170000000E2;OUT;
1,061061061E1;2,227534871E1;-1,024610408E0;3,180000000E2;OUT;
1,064397731E1;1,731043317E1;-1,632559250E0;3,190000000E2;OUT;
1,067734401E1;1,163624398E1;-1,531234443E0;3,200000000E2;OUT;
1,071071071E1;6,570003627E0;-1,581896846E0;3,210000000E2;OUT;
1,074407741E1;2,820985768E0;-7,206359869E-1;3,220000000E2;OUT;
1,077744411E1;1,959724909E0;-5,686487764E-1;3,230000000E2;OUT;
1,081081081E1;1,149126453E0;-2,646743554E-1;3,240000000E2;OUT;
1,084417751E1;1,149126453E0;-6,202474141E-2;3,250000000E2;OUT;
1,087754421E1;1,199788856E0;-6,202474141E-2;3,260000000E2;OUT;
1,091091091E1;1,199788856E0;-6,202474141E-2;3,270000000E2;OUT;
1,094427761E1;1,503763277E0;-1,136233792E-2;3,280000000E2;OUT;
1,097764431E1;1,757075295E0;-1,136233792E-2;3,290000000E2;OUT;
1,101101101E1;1,757075295E0;-1,136233792E-2;3,300000000E2;OUT;
1,104437771E1;1,757075295E0;-1,136233792E-2;3,310000000E2;OUT;
1,107774441E1;1,757075295E0;-1,136233792E-2;3,320000000E2;OUT;
1,111111111E1;1,757075295E0;-1,136233792E-2;3,330000000E2;OUT;
1,114447781E1;1,757075295E0;-1,136233792E-2;3,340000000E2;OUT;
1,117784451E1;1,757075295E0;-1,136233792E-2;3,350000000E2;OUT;
1,121121121E1;1,757075295E0;-1,136233792E-2;3,360000000E2;OUT;
1,124457791E1;1,757075295E0;-1,136233792E-2;3,370000000E2;OUT;
1,127794461E1;1,757075295E0;8,996246908E-2;3,380000000E2;OUT;
1,131131131E1;1,757075295E0;3,930006558E-2;3,390000000E2;OUT;
1,134467801E1;-8,267072838E-1;6,472489075E-1;3,400000000E2;OUT;
1,137804471E1;-3,511814669E0;1,356522556E0;3,410000000E2;OUT;
1,141141141E1;-6,348909265E0;2,572420240E0;3,420000000E2;OUT;
1,144477811E1;-9,034016650E0;3,079044275E0;3,430000000E2;OUT;
1,147814481E1;-9,844615106E0;3,737655521E0;3,440000000E2;OUT;
1,151151151E1;-1,055388876E1;4,092292345E0;3,450000000E2;OUT;
1,154487821E1;-1,055388876E1;4,092292345E0;3,460000000E2;OUT;
1,157824491E1;-1,055388876E1;4,092292345E0;3,470000000E2;OUT;
1,161161161E1;-1,055388876E1;4,092292345E0;3,480000000E2;OUT;
1,164497831E1;-1,055388876E1;4,092292345E0;3,490000000E2;OUT;
1,167834501E1;-1,055388876E1;4,092292345E0;3,500000000E2;OUT;
1,171171171E1;-1,055388876E1;4,092292345E0;3,510000000E2;OUT;
1,174507841E1;-1,303634653E1;2,724407451E0;3,520000000E2;OUT;
1,177844511E1;-1,450555623E1;2,775069854E0;3,530000000E2;OUT;
1,181181181E1;-1,521482988E1;1,863146591E0;3,540000000E2;OUT;
1,184517851E1;-1,582277872E1;1,812484188E0;3,550000000E2;OUT;
1,187854521E1;-1,612675314E1;1,761821784E0;3,560000000E2;OUT;
1,191191191E1;-1,612675314E1;1,761821784E0;3,570000000E2;OUT;
1,194527861E1;-1,612675314E1;1,863146591E0;3,580000000E2;OUT;
1,197864531E1;-1,612675314E1;1,863146591E0;3,590000000E2;OUT;
1,201201201E1;-1,607609074E1;2,015133802E0;3,600000000E2;OUT;
1,204537871E1;-1,597476593E1;2,015133802E0;3,610000000E2;OUT;
1,207874541E1;-1,592410353E1;2,015133802E0;3,620000000E2;OUT;
